section,section_label,order,date,kind,source,asset
02_1-3_months,02_1-3_months,18,2025-08-09,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250809_161458.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/018_2025-08-09_161458_photo.jpg
02_1-3_months,02_1-3_months,19,2025-08-12,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250812_153920.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/019_2025-08-12_153920_photo.jpg
02_1-3_months,02_1-3_months,20,2025-08-13,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250813_125431.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/020_2025-08-13_125431_video.mp4
02_1-3_months,02_1-3_months,21,2025-08-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250815_160007.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/021_2025-08-15_160007_photo.jpg
02_1-3_months,02_1-3_months,22,2025-08-17,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250817_123709.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/022_2025-08-17_123709_photo.jpg
02_1-3_months,02_1-3_months,23,2025-08-17,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250817_205152.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/023_2025-08-17_205152_video.mp4
02_1-3_months,02_1-3_months,24,2025-08-23,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1755945072752.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/024_2025-08-23_193112_photo.jpg
02_1-3_months,02_1-3_months,25,2025-08-29,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1756460287914.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/025_2025-08-29_183807_photo.jpg
02_1-3_months,02_1-3_months,26,2025-08-29,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1756460288021.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/026_2025-08-29_183808_photo.jpg
02_1-3_months,02_1-3_months,27,2025-09-01,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1756730862925.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/027_2025-09-01_214742_photo.jpg
03_4-6_months,03_4-6_months,1,2025-09-14,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20250914_122901.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/001_2025-09-14_122901_photo.jpg
03_4-6_months,03_4-6_months,2,2025-09-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/1757940727642.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/002_2025-09-15_215207_photo.jpg
03_4-6_months,03_4-6_months,3,2025-09-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/1757940744664.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/003_2025-09-15_215224_photo.jpg
03_4-6_months,03_4-6_months,4,2025-09-20,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20250920_105226.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/004_2025-09-20_105226_video.mp4
03_4-6_months,03_4-6_months,5,2025-09-21,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20250921_162102.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/005_2025-09-21_162102_video.mp4
03_4-6_months,03_4-6_months,6,2025-09-29,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/1759113852248.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/006_2025-09-29_114412_photo.jpg
03_4-6_months,03_4-6_months,8,2025-10-01,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/1759323573299.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/008_2025-10-01_215933_photo.jpg
03_4-6_months,03_4-6_months,10,2025-10-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20251003_122858.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/010_2025-10-03_122858_photo.jpg
03_4-6_months,03_4-6_months,11,2025-10-05,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20251005_104500.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/011_2025-10-05_104500_video.mp4
03_4-6_months,03_4-6_months,12,2025-10-09,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20251009_093210.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/012_2025-10-09_093210_video.mp4
03_4-6_months,03_4-6_months,13,2025-10-12,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20251012_123326.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/013_2025-10-12_123326_photo.jpg
03_4-6_months,03_4-6_months,14,2025-10-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/1760522016547.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/014_2025-10-15_185336_photo.jpg
03_4-6_months,03_4-6_months,15,2025-10-18,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/20251018_100229.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/015_2025-10-18_100229_video.mp4
03_4-6_months,03_4-6_months,16,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_04_17.577_fll.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/016_2026-06-03_070417_photo.jpg
03_4-6_months,03_4-6_months,17,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_04_40.743_azj.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/017_2026-06-03_070440_photo.jpg
03_4-6_months,03_4-6_months,18,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_04_56.320_0kj.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/018_2026-06-03_070456_photo.jpg
03_4-6_months,03_4-6_months,19,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_05_17.870_02p.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/019_2026-06-03_070517_video.mp4
03_4-6_months,03_4-6_months,20,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_05_51.489_p53.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/020_2026-06-03_070551_photo.jpg
03_4-6_months,03_4-6_months,21,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_06_28.541_j8x.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/021_2026-06-03_070628_photo.jpg
03_4-6_months,03_4-6_months,22,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T07_07_30.926_mux.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/022_2026-06-03_070730_photo.jpg
